#SampleID	Seq_Run	Myco_Rel_Abund	Latitude	Longitude	pH	Total_Alkalinity	Total_Hardness	Free_Chlorine	Total_Chlorine	Nitrite	Nitrate	Total_Iron	Source of Household Water	Showerhead Installation Time Frame	Frequency of Household Shower Usage	Frequency of Showerhead Cleaning	Showerhead Cleaning Solution	Showerhead Material	Interior Showerhead Finish	Showerhead System Setup	Does the Showerhead Have a Filter?	Showerhead Spray Pattern Description	How is Water Heated	Age of Hot Water Heater	Hot Water Heater Flush Frequency	Description
NTM00257	1	5.41	30.03	-95.44	7.2	120	120	0	0	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00180	1	2.81	44.98	-93.19	6.8	100	200	0	1	0.3	2	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00126	1	0	31.22	-93.36	6.7	80	120	0	0	0	1.5	0.3	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not know	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM00492	1	6.2	42.76	-84.46	6.5	90	120	0	0	0	0.5	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00320	1	0.03	32.74	-117.13	6.8	160	250	0	0.5	0.1	1.5	0.6	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Nickel	Fixed/Permanent	No	Fine Misting of Water (Low Flow)	Electric Tankless Water Heater	>10 Years	Yearly	Showerhead
NTC_2	1	0.05	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	Showerhead
NTM01195	2	0.04	35.59	-105.73	7.5	160	12/200	0	0	0	0	0.3	Well-Water System	More than 6 Months Ago	10-13 times/week	Once a Year	Vinegar	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Every Few Years	Showerhead
NTM01334	2	2.41	34.48	-97.04	7.5	240	425	0	0	0	0	0.075	Rural Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Every Few Years	Showerhead
NTM00113	2	0.58	36.03	-86.73	6.2	150	120	0.5	1.5	0	0	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00129	2	0.03	42.97	-87.97	6.8	120	NA	0	0.75	0	10	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Once a Year	Undiluted Bleach	Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Electric Tankless Water Heater	1-5 Years	NA	Showerhead
NTM01460	2	24.07	38.87	-77.12	7.2	120	25/425	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed Showerhead w/ Additional Handheld Unit	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM01304	2	5.76	41.05	-73.57	6.2	80	50	0	0	1	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM01145	2	93.46	38.89	-76.99	6.8	120	120	0	0.5	0	1	0	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	<1 Year	Do Not Know	Showerhead
NTM00268	2	0.07	35.87	-78.65	6.2	40	120	0	0.5	0	2	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Nickel	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Every Few Years	Showerhead
NTM00317	2	5.14	42.66	-73.53	6.8	120	120	0	0	2	0	0.15	Well-Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Brass	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM00365	2	0.09	40.03	-105.07	6.2	60	120	0	0	0	0.5	0.1	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Brass	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Every Few Years	Showerhead
NTM00640	2	68.92	38.56	-121.72	6.5	120	250	0	0	0	0	0	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00237	2	0.33	40.16	-74.88	6.2	120	250	0.5	0.5	2	4	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Never	Showerhead
NTM01391	2	0.79	42.27	-85.84	6.9	240	25	0	0	0	0	0.15	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	<1 Year	Never	Showerhead
NTM01273	2	0.03	29.75	-95.39	NA	180	0	0.3	0.5	2	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Brass	Fixed/Permanent	Yes	Fine Misting of Water (Low Flow)	Gas Tankless Water Heater	>10 Years	Never	Showerhead
NTM00426	2	0.34	42.85	-72.56	6.2	40	50	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Electric Tankless Water Heater	Do Not Know	NA	Showerhead
NTM01452	2	0.06	36.56	-82.53	6.8	180	250	1	0.5	0	1	0.15	Municipal Water System	Do Not Know	1-4 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Do Not Know	Showerhead
NTM00578	2	0.29	35.98	-80.03	6.2	40	120	0	0.5	0	1	0	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	Do Not Know	Never	Showerhead
NTM00405	2	36.45	30.32	-97.53	7.2	240	120	0	0	0	0	0	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00989	2	1.65	34.72	-82.87	6.2	0	25	0	0	0	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Chrome	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM00621	2	0.04	42.18	-122.68	6.2	40	120	0	0	0.15	0	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	Yes	Fine Misting of Water (Low Flow)	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00241	2	9.65	37.56	-121.99	6.5	150	120	0	0.4	0	1	0.1	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Brass	Fixed Showerhead w/ Additional Handheld Unit	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00532	2	0.01	37.09	-122.09	6.2	180	120	0	0	0	2	0	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Do Not Know	Showerhead
NTM00635	2	25.64	39.74	-121.81	6.8	180	120	0	0.5	0	1.5	0	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Do Not Know	Showerhead
NTM00012	2	0.06	38.40	-85.45	6.8	180	250	0	0.5	0	0	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Every 6 Months	Bleach and Water	Plastic	Do Not Know	Fixed/Permanent	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Do Not Know	Showerhead
NTM01269	2	21.47	29.46	-98.51	7.2	200	25/425	0	1	0	2	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Once a Year	Commercial Cleaning Solution	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Targeted Pattern Producing Sharp Pointed Spray	Hot Water Heater	>10 Years	Every Few Years	Showerhead
NTM01205	2	91.75	32.90	-96.40	6.8	180	250	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Metal	Bronze	Fixed Showerhead w/ Additional Handheld Unit	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Never	Showerhead
EXT_BLNK_5	2	0.07	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	Showerhead
NTM01031	2	1.76	47.40	-120.26	6.8	80	250	0	0	0.15	0.3	0	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM01239	2	0.03	42.39	-71.08	6.8	80	50	0	0.75	0	0	0.15	Do Not Know	Do Not Know	10-13 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM01445	2	2.64	44.05	-123.10	6.2	40	120	0	0	1.5	0.15	0.1	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM01163	2	25.06	42.56	-70.87	6.2	100	120	0	0	0	0	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Every Few Years	Showerhead
NTM00344	2	11.5	35.93	-78.69	6.2	80	120	0	0	0.15	0	0.15	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed Showerhead w/ Additional Handheld Unit	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM00338	2	0.09	42.38	-71.19	6.6	70	120	0	2	0	0	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed Showerhead w/ Additional Handheld Unit	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00200	2	1.4	35.94	-78.71	6.2	80	50	0.5	1	0	20	0.15	Well-Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	Do Not Know	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00050	2	2.71	36.16	-86.69	6.6	180	120	0	0	0.2	11	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	No Finish	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00469	2	77.97	34.67	-79.14	6.2	120	250	0	2	0	0	0	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Chrome	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Never	Showerhead
NTM01080	2	0.1	40.26	-76.99	7.5	200	425	0	0	1	0	0.1	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM01074	2	0.01	43.01	-88.13	6.2	120	120	0	0	0	1	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Once a Year	Soapy Water	Plastic	Chrome	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM01340	2	22.84	39.84	-75.71	6.2	120	250	0	0.5	0	1	0.15	Municipal Water System	Within the Last 6 Months	10-13 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	<1 Year	Do Not Know	Showerhead
NTM00390	2	3.77	41.81	-88.32	6.8	160	200	0	0.75	0.15	2	0.1	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00598	2	0	33.58	-111.82	6.2	120	250	0	0	0	0	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Once Every 6 Months	Vinegar	Combination of Plastic/Metal	No Finish	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00622	2	0	32.22	-110.96	7	240	250	0	0.5	0.1	10	0.1	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Plastic	Do Not Know	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00234	2	0.05	40.72	-80.12	6.2	40	50	0.5	0.5	0	0	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Once a Year	Vinegar	Combination of Plastic/Metal	Chrome	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Yearly	Showerhead
NTM00512	2	49.12	41.31	-105.59	7.4	180	185	0	0	0	4	0.07	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00636	2	0	44.55	-123.29	6.2	100	100	0	0	0	30	0	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Electric Tankless Water Heater	>10 Years	NA	Showerhead
NTM00455	2	19.26	39.94	-75.23	6.2	120	120	0	0.5	0	0	0.075	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	<1 Year	Yearly	Showerhead
NTM00319	2	0.76	36.06	-78.87	<6.2	60	85	0	0.5	0	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Never	Showerhead
NTM01213	2	8.61	38.50	-90.64	6.8	180	120	2	NA	0.3	2	0.4	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM01398	2	20.66	26.02	-80.20	7.8	100	120	0	2	1.5	0.5	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	No Finish	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM01167	2	0.17	40.31	-74.74	7	160	250	0	0	2	0	0.15	Municipal Water System	Do Not Know	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00997	2	0.21	45.51	-122.61	6.8	120	50	0	0.5	0	0	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Chrome	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	<1 Year	Never	Showerhead
NTM01037	2	1.62	34.08	-84.46	6.2	80	50	0	0	0	0	0.15	Municipal Water System	Within the Last Month	14+ times/week	Replace Once A Month	NA	Plastic	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	<1 Year	Do Not Know	Showerhead
NTM00529	2	0.02	31.44	-109.92	6.8	150	120	0	1	0	2	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Solid Brass	Do Not Know	Fixed/Permanent	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00551	2	12.87	39.76	-75.14	6.8	80	120	0	0	0.15	0.3	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Do Not Know	Showerhead
NTM00567	2	0.19	28.60	-81.51	6.8	120	120	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	<1 Year	Never	Showerhead
NTM00091	2	0	32.39	-86.22	6.2	40	120	0	1	0	1	0.15	Municipal Water System	Within the Last 6 Months	10-13 times/week	Once Every 6 Months	Replace Showerhead	Plastic	No Finish	Fixed Showerhead w/ Additional Handheld Unit	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Do Not Know	Showerhead
NTM00560	2	0.07	45.60	-122.75	6.2	35	50	0	0.25	0.075	1	0.05	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	Do Not Know	Never	Showerhead
NTM00326	2	0.62	34.98	-80.68	6.2	80	120	0	0	0	1	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00156	2	21.13	42.73	-92.48	6.8	180	50	0	0	1	0	0	Unknown/Other	Do Not Know	14+ times/week	Do Not Know	Undiluted Bleach	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM01111	2	20.92	29.97	-90.04	7.2	180	250	0	10	0	2	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Do Not Know	Showerhead
NTM00988	2	25.26	33.07	-117.24	7.2	80	250	0	0	0	1	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Nickel	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Yearly	Showerhead
NTM01276	2	32.57	35.88	-84.14	6.8	120	250	0	0	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Every Few Years	Showerhead
NTM01131	2	21.99	33.63	-117.69	6.8	180	250	0	0.5	0.3	2	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00519	2	0	48.12	-122.77	6.2	90	120	0	0	0	1	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Do Not Know	Showerhead
NTM01337	2	0.04	37.88	-122.47	6.4	80	120	0	0.5	0	0	0.15	Municipal Water System	Do Not Know	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM01320	2	1.85	45.40	-122.72	6.2	80	50	0	0.5	0.3	2	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00398	2	22.7	35.80	-78.61	6.2	80	120	0	2	0	5	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	<1 Year	Never	Showerhead
NTM00570	2	0.21	33.87	-118.33	6.8	180	200	0	0.5	0.1	2	0	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Fine Misting of Water (Low Flow)	Electric Tankless Water Heater	6-10 Years	NA	Showerhead
NTM00014	2	10.48	35.73	-78.45	6.5	160	120	0	0	NA	1	0.1	Well-Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Propane Tankless Water Heater	>10 Years	NA	Showerhead
NTM00639	2	0.01	38.40	-122.82	6.8	170	250	0.1	0.5	1	0	0.1	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Fine Misting of Water (Low Flow)	Electric Tankless Water Heater	1-5 Years	NA	Showerhead
NTM00522	2	0.02	44.03	-123.06	6.2	40	120	0	0	0	0	0	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	<1 Year	Never	Showerhead
NTM00967	2	0	48.77	-122.49	6.2	80	120	0.5	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Electric Tankless Water Heater	1-5 Years	Yearly	Showerhead
NTM01279	2	0.93	40.00	-105.13	6.8	120	120	0	0.5	0	0	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Plastic	No Finish	Hand-Held Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM01215	2	0.7	44.46	-93.18	7.2	240	0	0	0	0	1	NA	Municipal Water System	More than 6 Months Ago	5-9 times/week	Once a Year	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM01250	2	0.04	46.04	-118.31	6.8	180	50	0	0	0	0.15	0.1	Well-Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00323	2	23.33	41.74	-73.91	6.2	60	120	0	0.5	0	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM01385	2	8.7	27.52	-82.58	6.2	80	250	0	0	0.15	2	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Targeted Pattern Producing Sharp Pointed Spray	Hot Water Heater	>10 Years	Never	Showerhead
NTM00977	2	0.08	44.94	-92.93	7.2	180	0	0	0	0	1	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Metal	Chrome	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Yearly	Showerhead
NTM00544	2	0	33.78	-84.30	6.2	100	120	0	0.8	0	5	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Gas Tankless Water Heater	6-10 Years	NA	Showerhead
NTM00262	2	31.55	40.68	-73.98	6	30	200?	0	0	0	0	0.05	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Do Not Know	Showerhead
NTM00633	2	14.18	35.18	-111.66	6.8	180	120	0	0	0	0	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00644	2	36.68	37.36	-122.04	7.2	120	120	0	0	0.15	2	0	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Every Few Years	Showerhead
